Segment,Unnamed: 0,param_config,cluster_label,num_points,avg_lon,avg_lat,median_lon,median_lat,bounding_box_area,density,radius_avg,radius_max,std_lon,std_lat,has_shop,shop_rel_bakery,shop_rel_hairdresser,amenity_rel_restaurant,amenity_rel_pub,amenity_rel_school,amenity_rel_pharmacy,amenity_rel_bank,amenity_rel_atm,amenity_rel_post_office,amenity_rel_community_centre,amenity_rel_bar,amenity_rel_clinic,shop_rel_gift,shop_rel_books,amenity_rel_cafe,shop_rel_electronics,shop_rel_shoes,amenity_rel_bureau_de_change,amenity_rel_fast_food,shop_rel_laundry,shop_rel_convenience,shop_rel_greengrocer,shop_rel_tobacco,amenity_rel_dentist,amenity_rel_language_school,shop_rel_hardware,shop_rel_supermarket,amenity_rel_veterinary,shop_rel_beauty,shop_rel_clothes,shop_rel_telecommunication,shop_rel_vacant,amenity_rel_events_venue,amenity_rel_hospital,amenity_rel_university,amenity_rel_library,amenity_rel_charging_station,amenity_rel_doctors,amenity_rel_theatre,amenity_rel_post_box,shop_rel_newsagent,shop_rel_deli,shop_rel_jewelry,shop_rel_butcher,shop_rel_lottery,shop_rel_computer,shop_rel_bag,shop_rel_optician,shop_rel_fashion_accessories,shop_rel_chocolate,shop_rel_sports,shop_rel_watches,shop_rel_mobile_phone_accessories,amenity_rel_car_rental,amenity_rel_college,shop_rel_kiosk,shop_rel_ticket,amenity_rel_taxi,shop_rel_bicycle,shop_rel_haberdashery,shop_rel_confectionery,shop_rel_mall,shop_rel_travel_agency,shop_rel_outdoor,shop_rel_car,shop_rel_garden_centre,shop_rel_variety_store,shop_rel_furniture,shop_rel_car_repair,shop_rel_seafood,shop_rel_florist,shop_rel_interior_decoration,shop_rel_pastry,shop_rel_herbalist,shop_rel_department_store,shop_rel_cosmetics,shop_rel_appliance,shop_rel_stationery,amenity_rel_cinema,shop_rel_medical_supply,shop_rel_dry_cleaning,shop_rel_printer_ink,shop_rel_mobile_phone,shop_rel_frozen_food,amenity_rel_fountain,shop_rel_doityourself,shop_rel_storage_rental,shop_rel_toys,shop_rel_curtain,shop_rel_bed,shop_rel_tea,shop_rel_pet,shop_rel_perfumery,shop_rel_yes,shop_rel_wholesale,shop_rel_pet_grooming,amenity_rel_biergarten,shop_rel_collector,shop_rel_trade,amenity_rel_parcel_locker,shop_rel_nuts,shop_rel_houseware,shop_rel_fabric,shop_rel_glaziery,shop_rel_kitchen,shop_rel_fishing,shop_rel_coffee,shop_rel_video_games,shop_rel_doors,shop_rel_locksmith,shop_rel_paint,shop_rel_household_linen,shop_rel_copyshop,amenity_rel_workshop,shop_rel_craft,shop_rel_carpet,shop_rel_party,amenity_rel_exhibition_centre,amenity_rel_conference_centre,shop_rel_second_hand,shop_rel_window_blind,shop_rel_motorcycle_repair,shop_rel_motorcycle,shop_rel_cannabis,shop_rel_cheese,shop_rel_hearing_aids,shop_rel_food,shop_rel_baby_goods,shop_rel_hairdresser_supply,shop_rel_sewing,shop_rel_photo,shop_rel_general,shop_rel_shoe_repair,shop_rel_fuel,shop_rel_money_lender,shop_rel_bookmaker,shop_rel_nutrition_supplements,amenity_rel_money_transfer,shop_rel_frame,shop_rel_car_parts,shop_rel_tyres,shop_rel_tattoo,amenity_rel_arts_centre,shop_rel_massage,shop_rel_chemist,shop_rel_alcohol,shop_rel_ice_cream,shop_rel_hairdresser;pet,shop_rel_bathroom_furnishing,shop_rel_health_food,shop_rel_windows,shop_rel_wine,amenity_rel_parking,shop_rel_tailor,shop_rel_estate_agent,shop_rel_beverages,shop_rel_shutters,shop_rel_optician;hearing_aids,shop_rel_doityourself;sewing,shop_rel_art,shop_rel_dairy,shop_rel_games,shop_rel_esoteric,shop_rel_video,shop_rel_religion,shop_rel_farm,amenity_rel_car_sharing,shop_rel_electrical,shop_rel_indian_food,shop_rel_leather,shop_rel_gas,shop_rel_hifi,amenity_rel_sop,shop_rel_grocery,amenity_rel_post_depot,amenity_rel_social_facility,shop_rel_e-cigarette,shop_rel_model,shop_rel_eggs,amenity_rel_marketplace,shop_rel_repair,shop_rel_radiotechnics,amenity_rel_car_wash,shop_rel_nails,shop_rel_charity,shop_rel_spices,amenity_rel_bicycle_repair_station,shop_rel_flooring,shop_rel_musical_instrument,shop_rel_lighting,shop_rel_music,shop_rel_gold_buyer,amenity_rel_ice_cream,shop_rel_outpost,shop_rel_pawnbroker,shop_rel_pottery,shop_rel_clothes;secondhand,shop_rel_wigs,shop_rel_agrarian,shop_rel_tiles,shop_rel_kitchen;bathroom_furnishing,amenity_rel_place_of_worship,amenity_rel_music_venue,amenity_rel_studio,shop_rel_accessories,shop_rel_weapons,shop_rel_hairdesser,shop_rel_boutique,shop_rel_energy,amenity_rel_coworking_space,shop_rel_erotic,shop_rel_antiques,shop_rel_orthopaedics,amenity_rel_gambling,amenity_rel_casino,shop_rel_CCG,shop_rel_wedding,shop_rel_spy,shop_rel_signs,amenity_rel_driving_school,shop_rel_printing,shop_rel_variety,amenity_rel_prep_school,shop_rel_plant_shop,amenity_rel_bicycle_rental,shop_rel_fireplace,shop_rel_rental,shop_rel_camera,shop_rel_hair extensions,amenity_rel_retail,amenity_rel_student_accommodation,geometry,population,av_age,percent_65,pp_income,male_rate,pop_buffer,has_Dia,has_Burger King,has_Mercadona,has_Ahorramás,has_Carrefour,has_Rodilla,has_McDonald's,has_Vips,has_100 Montaditos,has_Supercor,has_Alcampo,has_Telepizza,has_Lidl,has_Starbucks,has_Malvón,has_Domino's,has_Marco Aldany,has_Orange,has_Ginos,has_Granier,has_La Sirena,has_KFC,has_ALDI,has_Vitaldent,has_Foster's Hollywood,has_Mango,has_Vodafone,has_Movistar,has_Opticalia,has_Multiópticas,has_Lizarrán,has_Papa John's,has_Zara,trains_metro,trains_metro_in_buffer,bus,bus_in_buffer,source
Mixed,1114,madrid_hdbscan_5_5,1114,11,-3.711649527272728,40.42478543636364,-3.7117477,40.4246975,7.422036799997386e-07,14820729.533440031,0.0003749692849778,0.000679050859837,0.000198502393349,0.0003625728623262,Yes,,,0.182,0.182,,,0.091,,,,0.091,,,,0.091,,,,,,,,,0.091,,,,,,0.091,,0.091,,,,,,,,,,,,,,,,,,,,,,,,,,0.091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((-3.711274 40.4242485, -3.7116462 40.4245511, -3.7117841 40.4246975, -3.7118924 40.4252044, -3.7117951 40.4254487, -3.711274 40.4242485))",55.0,43.1,16.5,21422.0,88.1,3880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,16.0,Anna
Mixed,1142,madrid_hdbscan_5_5,1142,5,-3.7041015,40.43589438,-3.7041082,40.4358806,1.5591779999786062e-08,320681795.1554349,0.0001054894331166,0.00020918193612,1.5332840571784566e-05,0.000125820672386,Yes,,,,,,,0.2,,,,,,,,,,,,,,,0.2,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((-3.704121 40.4357346, -3.7041104 40.4358806, -3.7040892 40.4361032, -3.7040787 40.4359446, -3.704121 40.4357346))",2.0,45.04,21.11,24092.19,88.1,6808.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,Anna
Local,1145,madrid_hdbscan_5_5,1145,8,-3.7039253625,40.437204337500006,-3.7039963,40.437209300000006,2.0142607999992945e-07,39716803.30572289,0.0001818036428395,0.0003818454207043,0.0001711358958365,0.0001164113926716,Yes,,,0.25,,,,,,,,0.125,,,,,,,,,,0.125,,,,,,,,,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.125,,,,,,,,,,,"POLYGON ((-3.704073 40.4370214, -3.7040597 40.4373121, -3.7040554 40.4374026, -3.7035446 40.4371756, -3.7038719 40.4370585, -3.704073 40.4370214))",36.0,44.94,22.68,23434.31,88.1,5836.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,Anna
Primary,1153,madrid_hdbscan_5_5,1153,55,-3.705400580269989,40.4117102628348,-3.7052761433035255,40.4117751,3.942080294930943e-06,13952024.282895405,0.0006313246967759,0.0012303671598529,0.0005600323532381,0.0004197992520366,Yes,0.018,,0.073,0.018,,0.018,0.036,0.018,,,0.018,,0.018,0.018,0.055,,0.036,,,0.018,0.018,,0.018,0.018,,,,,0.018,0.073,,,,,,,,,,,,,0.109,0.036,,,,,,,,,,,,0.018,,,,,,,,,,,,,,0.018,0.055,,,,,,,,0.018,,,,0.018,,,,,,,,,,,0.073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.018,,,,,,,,,,,,,,0.018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.018,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((-3.7049558 40.4108769, -3.7066306 40.4117395, -3.706625137229281 40.411774553324776, -3.70652221149772 40.41185129238427, -3.70536396380342 40.412529417415605, -3.7042451 40.4113489, -3.7045025 40.4110426, -3.7049558 40.4108769))",652.0,42.9,13.22,19265.27,88.1,10335.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,10.0,Anna
Local,1260,madrid_hdbscan_5_5,1260,14,-3.705144028571429,40.43086470000001,-3.70515295,40.43084825,2.016458100002501e-07,69428668.01934856,0.0002022685069331,0.0004008208854992,8.120390937607562e-05,0.0002221032321113,Yes,,0.143,0.071,,,0.071,0.071,0.071,,,,0.071,,,,,,,,,0.071,,,0.143,,,,,,0.071,,0.143,,,,,,,,,,,0.071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((-3.7052845 40.4304893, -3.7051484 40.4308708, -3.7050116 40.4312282, -3.7050753 40.4310458, -3.7052005 40.4306886, -3.7052845 40.4304893))",3.0,42.8,18.9,21939.0,88.1,5801.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,Anna
Local,1293,madrid_hdbscan_5_5,1293,10,-3.70491426,40.42557853,-3.70493975,40.425557100000006,1.8191360000068218e-07,54971151.13967565,0.000175698730922,0.0004235652045451,0.0001856023178734,8.679185503332056e-05,Yes,,,0.2,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((-3.7045021 40.4254809, -3.7051481 40.4255198, -3.7051152 40.4256072, -3.7050793 40.4256955, -3.7049215 40.4257625, -3.7045021 40.4254809))",43.0,43.3,15.4,20334.0,88.1,7245.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,Anna
Local,1329,madrid_hdbscan_5_5,1329,23,-3.7067968608695656,40.42659410434784,-3.7067574,40.4265345,7.101026800024513e-07,32389682.010382783,0.0003305375535927,0.0006909768411764,0.0001595823781791,0.0003395287481951,Yes,,,0.087,,,,,,,,0.087,,,,0.043,,,,0.087,,0.13,,,,,0.043,0.043,,,0.087,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.043,,,,,,,,,,,,,,,,,,,0.043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.043,,,,,,,,,,0.043,"POLYGON ((-3.7071668 40.4260105, -3.7070757 40.4261932, -3.7065606 40.4271819, -3.7066702 40.4265494, -3.706712 40.4264722, -3.7068998 40.4261303, -3.7071668 40.4260105))",62.0,42.89,14.68,19566.06,88.1,7218.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,Anna
Local,9,madrid_hdbscan_5_5,9,8,-3.5649094443626206,40.4040937918066,-3.5649747,40.404131,4.116366066331908e-07,19434617.502638184,0.0002719619110735,0.0005535546177772,0.0002878877007279,0.0001461585061086,Yes,,0.25,0.125,0.125,,,,,,,,,,,,,,,,,0.125,,,,0.125,,,,,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((-3.5644176 40.4038398, -3.565330654900966 40.40429063445278, -3.5651538 40.4042265, -3.5645457 40.4039072, -3.5644176 40.4038398))",0.0,32.7,2.5,17913.0,88.1,275.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matteo
Local,76,madrid_hdbscan_5_5,76,10,-3.59744072017873,40.40212624739302,-3.597535573536661,40.40216347418322,1.196920464663765e-05,835477.4018179368,0.0013070507438034,0.0027856210953789,0.0012029059962727,0.0008749173061368,Yes,,,,,0.1,0.1,0.1,0.1,,,,,,,,,,,,,0.1,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((-3.5983854 40.4008693, -3.599673532179381 40.40379185102437, -3.5958746 40.4030428, -3.59557806744778 40.40228246591056, -3.5983854 40.4008693))",1656.0,38.59,8.74,17777.22,88.1,5713.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,13.0,Matteo
Local,97,madrid_hdbscan_5_5,97,12,-3.618256315250436,40.37116037921228,-3.6183115,40.37125762527364,2.3995759200026336e-06,5000883.656136552,0.0007100377660889,0.0013123966135523,0.0003253276655382,0.0007071353117081,Yes,0.083,,0.083,,,0.083,,,,,0.25,,,,0.083,,,,,,,,,0.083,,,0.083,,,,,,,,,,,,,,,,,,,,,0.083,,,,,,,,0.083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((-3.6179949 40.3701161, -3.6187118 40.3705899, -3.6185329 40.3724433, -3.617765483005219 40.37124395054729, -3.6176807 40.3704858, -3.6179949 40.3701161))",313.0,45.66,21.83,14993.79,88.1,6090.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,Matteo
Local,108,madrid_hdbscan_5_5,108,12,-3.655637693773232,40.48636508254176,-3.65573935,40.4863736,6.599757405784392e-06,1818248.6510007984,0.0009597725434106,0.0023603302653868,0.000627128337394,0.0009204263755632,Yes,0.083,0.083,0.167,,,0.167,,,,,,,,,,,,,,,0.083,0.083,,0.083,,,0.083,0.083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((-3.655150925278781 40.48405549050105, -3.6562786 40.4858577, -3.6563572 40.4860642, -3.6561746 40.4875232, -3.6559848 40.4875569, -3.6558061 40.4875763, -3.6545488 40.4864093, -3.6544827 40.4863379, -3.655150925278781 40.48405549050105))",639.0,35.67,6.04,18165.71,88.1,3763.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,Matteo
Mixed,111,madrid_hdbscan_5_5,111,13,-3.6288345294694886,40.44776323362687,-3.62851670349291,40.4477787,1.385778065934194e-05,938101.1519500646,0.0012777689327107,0.0031293653144426,0.0012167845455933,0.0008410044788912,Yes,,,,,,,0.077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.077,,,,,,,,,,,,,,,,,0.077,,0.154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((-3.626260678415325 40.44598328474496, -3.627979993583093 40.44638178333109, -3.630160332014623 40.44712455662435, -3.631015 40.4481735, -3.630427122547641 40.448545856391256, -3.62851670349291 40.44889806036805, -3.628165819427408 40.44844767242538, -3.626260678415325 40.44598328474496))",160.0,44.6,19.9,30604.0,88.1,873.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,Matteo
Local,113,madrid_hdbscan_5_5,113,22,-3.708541909120027,40.36975522649712,-3.708503,40.3697275,1.92478866692906e-05,1142982.6233910818,0.0012925655999263,0.0030062071968289,0.0013719374509206,0.0006810557869783,Yes,,,0.091,,0.045,0.182,0.045,,0.045,0.091,,,,,0.045,,,,,,0.045,,0.045,,,0.045,,0.045,,,,,,,,,,,,,,,,0.045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((-3.708425 40.3683726, -3.711430004140389 40.36892084716874, -3.708171322466613 40.371708279749456, -3.7056597 40.3698027, -3.7059068 40.3687219, -3.708425 40.3683726))",1948.0,45.6,23.83,10990.11,88.1,5646.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,15.0,Matteo
Local,128,madrid_hdbscan_5_5,128,8,-3.715885112507888,40.34342691641206,-3.715881,40.34351815,1.6566894546950551e-06,4828907.419750885,0.0006617222788293,0.0010380736407804,0.0006606082287795,0.0002898752644707,Yes,,0.125,0.125,,,,,,,,,,,,0.125,,,,,,0.25,,,,,,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((-3.714987300063098 40.34290583129649, -3.7168549 40.3431459, -3.716331 40.3434815, -3.7161297 40.3435548, -3.7150583 40.3437929, -3.714987300063098 40.34290583129649))",287.0,42.83,19.58,10223.81,88.1,6209.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,Matteo
Local,133,madrid_hdbscan_5_5,133,12,-3.660068982568052,40.37337170844216,-3.659990453516648,40.37365575,9.9307716682519e-06,1208365.311465503,0.0008556472327484,0.0026984065906683,0.0007999192993798,0.0007367439573511,Yes,,,,,0.083,0.083,,,,0.083,,,,,,,,,0.083,,,0.083,,,,,0.083,,,,,,,,,0.083,,,0.167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((-3.66062801161094 40.372207427744364, -3.662199215608526 40.37502806146064, -3.6595698 40.3736887, -3.658678456563865 40.372631339307155, -3.66062801161094 40.372207427744364))",760.0,43.69,21.69,9952.11,88.1,4506.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,Matteo
Local,144,madrid_hdbscan_5_5,144,26,-3.672852819910775,40.50030312445696,-3.6727109996744782,40.5001819,1.2907436523644836e-05,2014342.6583869848,0.001284781315139,0.0024063086759847,0.0012351117115389,0.0007876476941194,Yes,,0.038,0.346,,0.038,0.038,0.038,,,,,0.038,,,,,,,,,0.038,,,0.077,,,0.038,0.038,0.038,0.038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.038,,,,,,,,,,,,,,,0.038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((-3.674999 40.4992149, -3.6751661 40.499659, -3.6751912 40.4997498, -3.672743599348958 40.502214321859334, -3.6715189 40.5021517, -3.670887891852975 40.50102029599134, -3.672156 40.4993604, -3.674999 40.4992149))",1395.0,32.2,4.47,24288.46,88.1,4977.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,9.0,Matteo
Local,232,madrid_hdbscan_5_5,232,7,-3.7735124142857135,40.39755604285715,-3.7734916,40.3973834,6.033959399993049e-07,11601006.132073184,0.0003399882966791,0.0009345406262095,0.0001753974216179,0.0003868984874513,Yes,,0.143,,,,,0.143,,,,,,,,0.286,,,0.143,,,0.143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((-3.7734916 40.3973275, -3.7738477 40.3973598, -3.7735805 40.3984881, -3.7733375 40.3973834, -3.7733278 40.3973365, -3.7734916 40.3973275))",112.0,43.13,19.46,10669.34,88.1,4847.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,Matteo
